Hall ,Name Of Campus ,,Whatsapp Number,Hall
ABEKA MEGA CHURCH,GTUC,,233820805039,ABEKA MEGA CHURCH
ACCRA COLLEGE OF MEDICINE,ACM,,233772093126,ACCRA COLLEGE OF MEDICINE
AIT CENTRE,AIT,,233408045681,AIT CENTRE
AKUAFO,Legon Central,,233187505835,AKUAFO
AKUAFO ANNEX,Legon Central,,233184120973,AKUAFO ANNEX
AKUAFO HALL GENERAL,Legon General Central,,233465827408,AKUAFO HALL GENERAL
ALEX KWAPONG GENERAL,Legon General Diaspora,,233831565847,ALEX KWAPONG GENERAL
AMERICAN HOUSE,Communities General,,233637280885,AMERICAN HOUSE
AZUMA,Accra Poly,,233948151677,AZUMA
BANI,Legon Pent City,,233774960495,BANI
BANI GENERAL,Legon General Pent City,,233491924667,BANI GENERAL
BBM HOSTEL,Pentecost,,233425306755,BBM HOSTEL
COMMONWEALTH,Legon Central,,233661013433,COMMONWEALTH
COMMONWEALTH HALL GENERAL,Legon General Central,,233842686984,COMMONWEALTH HALL GENERAL
DELICIOUS HOSTEL,GTUC,,233687402316,DELICIOUS HOSTEL
ELIZABETH SEY,Legon Diaspora,,233261804415,ELIZABETH SEY
ELIZABETH SEY GENERAL,Legon General Diaspora,,233776316736,ELIZABETH SEY GENERAL
EVANDY ,Legon Pent City,,233548469696,EVANDY 
EVANDY GENERAL,Legon General Pent City,,233180491734,EVANDY GENERAL
EVANDY HOSTEL,Accra Poly,,233932843395,EVANDY HOSTEL
GIMPA,GIMPA,,233595998543,GIMPA
HAASTO,Communities General,,233882766643,HAASTO
HILLA LIMANN GENERAL,Legon General Diaspora,,233558532974,HILLA LIMANN GENERAL
JEAN NELSON,Legon Diaspora,,233590513191,JEAN NELSON
JEAN NELSON GENERAL,Legon General Diaspora,,233855366626,JEAN NELSON GENERAL
JEAN NSELSON WEST,Legon Diaspora,,233265374611,JEAN NSELSON WEST
KWAPONG,Legon Diaspora,,233729449945,KWAPONG
LANCASTER,Lancaster,,233469673334,LANCASTER
LEGON,Legon Central,,233551784352,LEGON
LEGON HALL GENERAL,Legon General Central,,233788166560,LEGON HALL GENERAL
LEGON SOUTH,Legon Central,,233034763024,LEGON SOUTH
LEGON STAFF VILLAGE,Communities General,,233631917381,LEGON STAFF VILLAGE
LIMANN,Legon Diaspora,,233869698915,LIMANN
LIMANN NORTH,Legon Diaspora,,233695138892,LIMANN NORTH
MARITIME,Maritime,,233716841015,MARITIME
MEDICAL BLOCKS,Korle-Bu,,233403149519,MEDICAL BLOCKS
NEW HOSTEL,Accra Poly,,233589119624,NEW HOSTEL
NURSING SCHOOL,Korle-Bu,,233286074561,NURSING SCHOOL
NURSING SCHOOL,Korle-Bu,,233942556385,NURSING SCHOOL
OLD HOSTEL,Accra Poly,,233466172933,OLD HOSTEL
OLD PENTAGON,Legon Pent City,,233473472517,OLD PENTAGON
PALACE HOSTEL,GTUC,,233869996418,PALACE HOSTEL
PANTANG NTC,Pantang NTC,,233649740266,PANTANG NTC
PENTAGON 1 GENERAL,Legon General Pent City,,233836361998,PENTAGON 1 GENERAL
PENTAGON 2 GENERAL,Legon General Pent City,,233032635103,PENTAGON 2 GENERAL
PENTAGON BLOCK A ,Legon Pent City,,233513825321,PENTAGON BLOCK A 
PENTAGON BLOCK B,Legon Pent City,,233580909560,PENTAGON BLOCK B
PENTAGON BLOCK C,Legon Pent City,,233333038660,PENTAGON BLOCK C
SARBAH,Legon Central,,233911303452,SARBAH
SARBAH HALL GENERAL,Legon General Central,,233896568788,SARBAH HALL GENERAL
SARBAH NORTH,Legon Central,,233001952527,SARBAH NORTH
SBAHS HOSTEL,Korle-Bu,,233787183598,SBAHS HOSTEL
SOH HOSTEL,Korle-Bu,,233337156315,SOH HOSTEL
TEMA NARHBITA ,Tema Narh-Bita,,233596408488,TEMA NARHBITA 
TF,Legon Pent City,,233758958597,TF
TF GENERAL,Legon General Pent City,,233243413903,TF GENERAL
TWINKLE HOSTEL,GTUC,,233891991452,TWINKLE HOSTEL
UPSA AGAPE,UPSA,,233981074108,UPSA AGAPE
UPSA AYELE,UPSA,,233410347414,UPSA AYELE
UPSA AYELE GENERAL,UPSA General,,233524626836,UPSA AYELE GENERAL
UPSA FIRESTONE,UPSA,,233450937139,UPSA FIRESTONE
UPSA FREEMAN,UPSA,,233359141057,UPSA FREEMAN
UPSA HOSTEL,UPSA,,233428215785,UPSA HOSTEL
UPSA HOSTEL GENERAL,UPSA General,,233662532172,UPSA HOSTEL GENERAL
UPSA MADINA ESTATES,UPSA,,233728835348,UPSA MADINA ESTATES
UPSA PRESTIGE,UPSA,,233498646470,UPSA PRESTIGE
UPSA RAWLINGS CIRCLE,UPSA,,233397253949,UPSA RAWLINGS CIRCLE
VALLEY VIEW CAMPUS,Valley View University,,233906254619,VALLEY VIEW CAMPUS
VICTORY HOSTEL,Korle-Bu,,233717783498,VICTORY HOSTEL
VILLAGIO HOSTEL,Pentecost,,233742702306,VILLAGIO HOSTEL
VOLTA,Legon Central,,233782725800,VOLTA
VOLTA HALL GENERAL,Legon General Central,,233784473773,VOLTA HALL GENERAL
WEBSTER,Webster,,233171433684,WEBSTER
WESTLANDS GENERAL,Communities General,,233338548566,WESTLANDS GENERAL
WISCONSIN,Wisconsin,,233099450267,WISCONSIN
YMCA HOSTEL,Accra Poly,,233181163935,YMCA HOSTEL
YOURS AND OURS,Accra Poly,,233181163935,YOURS AND OURS